artist_name,is_explicit,danceability,valence,energy,loudness,acousticness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature
1,FALSE,0.692,0.745,0.727,-4.562,0.0451,0.0568,0.0868,6,136.87,1,217280,4
1,FALSE,0.771,0.686,0.674,-5.136,0.171,0.096,0.266,7,125.01,1,244893,4
1,FALSE,0.605,0.545,0.383,-7.837,0.135,0.168,0.235,1,77.973,1,237733,4
2,FALSE,0.519,0.489,0.668,-3.969,0.0111,0.0438,0.101,1,191.197,1,502560,3
2,FALSE,0.747,0.672,0.365,-7.572,0.00182,0.0597,0.0739,10,127.998,0,379067,4
1,FALSE,0.693,0.755,0.819,-6.001,0.103,0.0637,0.101,1,121.968,1,209213,4
2,FALSE,0.54,0.217,0.717,-5.529,0.00303,0.176,0.0751,6,127.999,1,314253,4
2,FALSE,0.84,0.772,0.634,-7.64,0.0142,0.134,0.116,11,128.018,1,396200,4
1,FALSE,0.523,0.59,0.729,-5.739,0.268,0.129,0.0677,9,80.104,1,224400,4
2,FALSE,0.801,0.847,0.712,-6.46,0.0137,0.0209,0.0605,11,128.002,0,534187,4
2,FALSE,0.702,0.677,0.742,-5.728,0.00455,0.0903,0.034,6,130.005,0,537267,4
2,FALSE,0.671,0.707,0.846,-5.804,0.00754,0.846,0.144,11,132.013,0,433307,4
1,FALSE,0.644,0.598,0.612,-7.154,0.0255,0.0275,0.0393,11,135.027,0,482347,4
2,FALSE,0.796,0.657,0.845,-5.784,0.00972,0.0334,0.0819,1,126.016,0,499960,4
2,FALSE,0.765,0.607,0.733,-7.565,0.000698,0.0346,0.0655,1,126.961,0,354547,4
2,FALSE,0.707,0.782,0.847,-6.755,9.98E-05,0.353,0.0567,6,125.982,0,412800,4
2,FALSE,0.796,0.769,0.924,-5.414,0.0029,0.0229,0.0854,6,128.003,0,413987,4
2,FALSE,0.884,0.433,0.747,-7.562,0.00055,0.661,0.0594,11,124.982,0,407653,4
2,FALSE,0.707,0.765,0.821,-7.516,0.000691,0.0496,0.0421,11,124.989,0,499040,4
1,FALSE,0.675,0.514,0.516,-5.546,0.0785,0.361,0.0271,6,90.001,1,249427,4
1,FALSE,0.745,0.833,0.693,-5.616,0.00131,0.0564,0.0499,3,122.988,0,308307,4
2,FALSE,0.769,0.908,0.802,-6.922,0.000107,0.0516,0.046,6,125.992,1,435093,4
2,FALSE,0.799,0.946,0.79,-7.883,0.000215,0.0642,0.0525,11,125.998,1,435093,4
1,FALSE,0.677,0.814,0.969,-5.082,0.00212,0.183,0.0556,1,127.006,1,507987,4
1,FALSE,0.689,0.912,0.83,-4.947,0.0114,0.293,0.0515,3,122.957,0,185480,4
2,FALSE,0.75,0.966,0.839,-6.371,0.000185,0.364,0.0378,6,125.974,1,222147,4
